track_id, type, traveled_d, avg_speed
_170, Motorcycle, 103.13, 15.091528
_171, Motorcycle, 383.78, 28.311304
_172, Car, 481.73, 34.823860
_173, Taxi, 72.20, 3.777659
_174, Bus, 480.20, 14.334387
_175, Motorcycle, 478.49, 40.436057
_176, Heavy Vehicle, 479.19, 18.430534
_177, Car, 197.71, 14.011236
_178, Motorcycle, 394.05, 40.300326
_179, Car, 480.32, 36.947951
_180, Car, 480.62, 35.748661
_181, Motorcycle, 480.71, 44.601624
_182, Motorcycle, 486.16, 23.028722
_183, Car, 32.11, 12.845410
_184, Car, 478.66, 22.975633
_185, Motorcycle, 487.23, 20.684375
_186, Car, 477.70, 25.744193
_187, Car, 34.30, 12.346529
_188, Taxi, 261.91, 19.643018
_189, Car, 93.48, 21.572758
_190, Motorcycle, 56.88, 15.056520
_191, Car, 105.45, 11.716569
_192, Car, 27.26, 8.920560
_193, Car, 199.45, 13.807814
_194, Taxi, 225.35, 14.435345
_195, Taxi, 358.31, 5.743177
_196, Motorcycle, 481.59, 33.469879
_197, Car, 235.61, 31.648758
_198, Bus, 140.38, 15.502507
_199, Car, 211.82, 13.377930
_200, Motorcycle, 352.16, 15.092596
_201, Car, 487.56, 30.578418
_202, Car, 481.52, 34.808553
_203, Motorcycle, 175.75, 10.406261
_204, Taxi, 104.80, 19.856184
_205, Motorcycle, 349.92, 14.996362
_206, Motorcycle, 28.03, 9.891223
_207, Motorcycle, 214.00, 14.058110
_208, Motorcycle, 480.74, 48.073660
_209, Motorcycle, 194.49, 12.918358
_210, Motorcycle, 215.19, 14.136310
_211, Car, 28.34, 3.750962
_212, Motorcycle, 357.91, 15.790244
_213, Car, 227.98, 24.572722
_214, Taxi, 92.83, 22.279832
_215, Car, 482.92, 20.309717
_216, Medium Vehicle, 236.59, 11.090101
_217, Car, 482.70, 37.776566
_218, Car, 18.62, 0.096770
_219, Taxi, 222.67, 14.627971
_220, Motorcycle, 481.21, 50.951537
_221, Motorcycle, 480.96, 40.079767
_222, Medium Vehicle, 105.52, 19.185478
_223, Heavy Vehicle, 481.74, 2.507635
_224, Car, 223.58, 14.581484
_225, Taxi, 480.33, 24.083196
_226, Motorcycle, 149.79, 36.435828
_227, Car, 235.43, 32.598103
_228, Car, 197.28, 18.210205
_229, Motorcycle, 55.36, 19.162203
_230, Motorcycle, 433.83, 20.282799
_231, Car, 347.72, 14.937735
_232, Car, 481.27, 21.284879
_233, Car, 480.66, 20.214535
_234, Car, 461.87, 3.843576
_235, Car, 102.44, 20.043382
_236, Car, 482.49, 20.244247
_237, Car, 211.29, 13.779575
_238, Motorcycle, 343.75, 13.749898
_239, Motorcycle, 488.19, 42.657813
_240, Car, 360.16, 15.435314
_241, Car, 28.53, 14.266360
_242, Taxi, 480.45, 19.654934
_243, Car, 27.04, 15.701965
_244, Car, 19.14, 0.101884
_245, Medium Vehicle, 256.94, 11.171377
_246, Car, 172.40, 19.155583
_247, Motorcycle, 51.08, 28.732618
_248, Motorcycle, 481.24, 40.860291
_249, Car, 53.34, 21.820931
_250, Motorcycle, 125.41, 15.252951
_251, Taxi, 458.55, 37.517679
_252, Motorcycle, 37.54, 12.993423
_253, Motorcycle, 454.48, 42.386647
_254, Motorcycle, 453.86, 41.681178
_255, Car, 480.96, 31.254021
_256, Heavy Vehicle, 482.50, 28.569004
_257, Car, 454.28, 38.938630
_258, Taxi, 454.22, 33.101076
_259, Motorcycle, 489.69, 36.574610
_260, Car, 52.24, 28.496744
_261, Heavy Vehicle, 95.09, 12.313680
_262, Car, 483.21, 28.331305
_263, Taxi, 457.62, 33.214697
_264, Car, 460.09, 32.604466
_265, Car, 485.63, 34.965644
_266, Car, 463.06, 31.813042
_267, Motorcycle, 199.78, 22.061939
_268, Taxi, 102.89, 26.458017
_269, Car, 478.59, 37.454760
_270, Car, 481.36, 23.544831
_271, Motorcycle, 485.61, 40.655540
_272, Car, 284.07, 15.448051
_273, Car, 210.50, 16.261862
_274, Motorcycle, 100.78, 14.511744
_275, Car, 482.48, 40.393771
_276, Motorcycle, 452.49, 26.021697
_277, Car, 198.64, 23.997212
_278, Motorcycle, 87.37, 18.287492
_279, Motorcycle, 55.07, 13.216367
_280, Taxi, 199.60, 26.613805
_281, Motorcycle, 46.91, 3.377796
_282, Car, 401.47, 21.766252
_283, Car, 216.92, 14.789770
_284, Motorcycle, 120.73, 18.574441
_285, Medium Vehicle, 492.00, 40.624114
_286, Motorcycle, 458.01, 40.812929
_287, Car, 55.18, 23.098429
_288, Motorcycle, 463.81, 47.980070
_289, Car, 442.47, 16.320539
_290, Motorcycle, 481.77, 44.244042
_291, Motorcycle, 323.78, 15.098643
_292, Medium Vehicle, 204.48, 1.547778
_293, Car, 211.40, 14.305373
_294, Motorcycle, 349.99, 16.622103
_295, Motorcycle, 236.55, 27.648121
_296, Car, 483.77, 44.886011
_297, Bus, 483.74, 36.585703
_298, Car, 492.89, 45.968721
_299, Motorcycle, 489.51, 38.477074
_300, Motorcycle, 220.69, 32.295659
_301, Car, 459.86, 36.145951
_302, Taxi, 265.83, 15.485314
_303, Car, 458.12, 21.700224
_304, Car, 483.40, 47.808474
_305, Car, 131.95, 8.105998
_306, Car, 384.61, 25.174583
_307, Car, 349.78, 17.835916
_308, Taxi, 208.41, 16.169694
_309, Taxi, 483.03, 42.002383
_310, Car, 482.64, 45.966073
_311, Taxi, 100.27, 24.390691
_312, Heavy Vehicle, 265.03, 16.856961
_313, Taxi, 207.24, 15.225623
_314, Taxi, 347.30, 20.100852
_315, Car, 215.01, 10.131479
_316, Car, 217.01, 10.015645
_317, Car, 263.70, 20.548116
